Date,Precipitation,TempAvg,TempMin,TempMax,Bici,Edad_Usuario,n_CO,n_UVA,n_UVB
2019-08-21,0.0,67,53,81,30737,34.97189055535674,4.546875000000001,21.395727272727274,21.395727272727274
2019-08-22,0.0,68,54,79,27990,34.85827081100393,5.221875,17.914272727272728,17.914272727272728
2019-08-23,0.13,66,60,80,27442,35.1618686684644,5.321875000000001,18.32718181818182,18.32718181818182
2019-08-24,0.01,68,58,81,12470,35.25372894947875,5.509375,23.435454545454544,23.435454545454544
2019-08-25,0.0,72,,,11498,35.461297616976864,5.046875000000001,24.710545454545457,24.710545454545457
2019-08-26,0.3,66,56,85,29784,34.96169084071985,6.421875000000001,21.72218181818182,21.72218181818182
2019-08-27,0.0,67,56,82,31587,35.00322917655998,5.66875,21.842636363636363,21.842636363636363
2019-08-28,0.0,67,58,82,32061,34.97392470602913,3.1125000000000003,23.317999999999998,23.317999999999998
2019-08-29,0.0,69,56,82,30887,35.17635251076505,3.2562499999999996,24.881909090909094,24.881909090909094
2019-08-30,0.0,66,54,81,29375,35.312306382978726,4.546874999999999,24.409000000000002,24.409000000000002
2019-08-31,0.03,67,,,13513,35.008362317768075,2.937499999999999,27.792272727272724,27.792272727272724
2019-09-01,0.0,68,55,81,28372,35.240554067390384,8.956250000000002,15.950272727272726,15.950272727272726
2019-09-02,0.0,69,55,80,12983,35.01694523607795,5.706250000000002,19.231818181818184,19.231818181818184
2019-09-03,0.0,67,57,78,13767,35.04743226556258,7.299999999999999,20.11109090909091,20.11109090909091
2019-09-04,0.0,69,58,77,32129,35.0237791403405,4.309374999999999,23.13818181818182,23.13818181818182
2019-09-05,0.0,69,58,77,30842,35.09292523182673,8.321874999999999,19.718999999999998,19.718999999999998
2019-09-06,0.03,67,58,80,11781,35.07860113742467,4.206249999999999,25.832818181818183,25.832818181818183
2019-09-07,0.0,66,56,77,30390,34.99897992760776,7.118749999999999,21.73209090909091,21.73209090909091
2019-09-08,0.23,63,56,76,26657,35.14375211013993,6.346875,19.27809090909091,19.27809090909091
2019-09-09,0.0,66,56,79,29891,35.05158743434479,5.503125000000001,19.72581818181818,19.72581818181818
2019-09-10,0.03,65,,,,,4.109375,18.582909090909087,18.582909090909087
2019-09-11,0.1,60,56,70,,,2.7750000000000004,19.153545454545455,19.153545454545455
2019-09-12,0.04,65,57,77,,,10.48125,15.979000000000001,15.979000000000001
2019-09-13,0.01,61,56,76,26250,35.255428571428574,4.515624999999999,10.99390909090909,10.99390909090909
2019-09-14,0.19,62,56,67,10496,35.275438262195124,3.275,16.052545454545452,16.052545454545452
2019-09-15,0.01,67,,,8615,35.99802669762043,2.8687500000000004,25.48872727272727,25.48872727272727
2019-09-16,0.0,63,55,80,6549,35.466330737517175,2.959375,21.740727272727273,21.740727272727273
2019-09-17,1.01,61,57,80,26714,35.189413790521826,5.753125,21.741181818181815,21.741181818181815
2019-09-18,,,,,26237,35.174372069977515,4.7071875,18.323090909090908,18.323090909090908
2019-09-19,0.45,64,58,77,25379,35.262106465975805,8.534374999999999,19.762727272727275,19.762727272727275
2019-09-20,0.0,63,55,72,25841,35.37808134360125,8.771875000000001,20.592636363636363,20.592636363636363
2019-09-21,0.47,67,56,80,13709,34.93515208986797,4.09375,24.253090909090908,24.253090909090908
2019-09-22,0.0,67,56,80,11309,35.15041117693872,3.578125000000001,22.40590909090909,22.40590909090909
2019-09-23,0.0,66,,,30155,35.06735201459128,5.081250000000001,24.670363636363632,24.670363636363632
2019-09-24,0.0,69,55,81,25461,35.296335572051376,6.7281249999999995,17.947454545454544,17.947454545454544
2019-09-25,0.78,66,58,80,25232,35.20299619530755,8.5125,16.445636363636364,16.445636363636364
2019-09-26,0.45,65,,,30404,35.13827128009473,7.01875,20.630363636363636,20.630363636363636
2019-09-27,0.0,68,56,80,29399,35.076397156365864,4.159375000000001,22.27754545454545,22.27754545454545
2019-09-28,0.0,69,57,81,12838,35.04362050163577,4.159375000000001,18.09072727272727,18.09072727272727
2019-09-29,,63,,,7605,34.429717291255756,3.78125,11.688818181818181,11.688818181818181
2019-09-30,,,,,26822,34.87689210349713,5.059375,18.444727272727274,18.444727272727274
2019-10-01,0.24,64,56,77,29572,35.42361017178412,6.581250000000001,15.197363636363638,15.197363636363638
2019-10-02,,,,,11544,35.26533264033264,6.743749999999999,22.581181818181822,22.581181818181822
2019-10-03,0.0,65,55,79,12239,35.24495465315794,7.449999999999999,20.303272727272727,20.303272727272727
2019-10-04,0.03,63,58,80,32545,35.125795053003536,6.812500000000002,21.38363636363636,21.38363636363636
2019-10-05,0.02,67,56,78,23844,35.00130011742996,8.521875000000001,19.762272727272727,19.762272727272727
2019-10-06,0.0,69,56,77,30308,35.04952487792002,4.0718749999999995,25.625363636363637,25.625363636363637
